iter	Passed	Remaining
221	373	1310
222	375	1308
223	377	1306
224	378	1304
225	380	1302
226	382	1300
227	383	1298
228	384	1295
229	386	1293
230	388	1291
231	389	1289
232	391	1288
233	392	1284
234	393	1281
235	395	1279
236	396	1277
237	398	1275
238	400	1274
239	401	1272
240	403	1270
241	405	1269
242	406	1267
243	408	1265
244	409	1263
245	411	1261
246	412	1258
247	414	1256
248	415	1253
249	417	1252
250	419	1251
251	421	1250
252	422	1248
253	424	1245
254	425	1243
255	427	1242
256	429	1240
257	430	1238
258	433	1239
259	435	1238
260	436	1236
261	438	1234
262	440	1233
263	441	1230
264	442	1227
265	444	1225
266	445	1223
267	447	1222
268	449	1220
269	450	1217
270	451	1215
271	453	1213
272	455	1211
273	456	1209
274	457	1206
275	459	1204
276	460	1202
277	462	1201
278	464	1199
279	465	1197
280	467	1195
281	468	1193
282	470	1191
283	471	1189
284	473	1186
285	475	1186
286	477	1186
287	479	1184
288	480	1182
289	482	1180
290	483	1178
291	485	1177
292	487	1175
293	489	1174
294	491	1174
295	493	1174
296	495	1172
297	496	1169
298	497	1166
299	499	1165
300	500	1161
301	502	1160
302	503	1158
303	504	1156
304	506	1154
305	508	1152
306	509	1150
307	511	1148
308	512	1146
309	514	1144
310	515	1142
311	517	1140
312	518	1138
313	520	1136
314	521	1134
315	523	1133
316	524	1131
317	526	1128
318	527	1127
319	529	1124
320	531	1123
321	532	1121
322	534	1119
323	535	1117
324	536	1114
325	538	1113
326	540	1111
327	541	1109
328	542	1107
329	544	1104
330	545	1102
331	546	1100
332	548	1098
333	549	1096
334	551	1094
335	553	1093
336	556	1094
337	557	1092
338	559	1091
339	561	1089
340	562	1087
341	564	1085
342	565	1082
343	566	1080
344	568	1078
345	570	1079
346	572	1078
347	574	1076
348	575	1074
349	577	1072
350	579	1071
351	580	1069
352	582	1067
353	585	1068
354	586	1065
355	588	1064
356	590	1062
357	591	1060
358	592	1057
359	593	1055
360	595	1053
361	597	1052
362	598	1051
363	600	1049
364	602	1048
365	603	1046
366	605	1043
367	606	1042
368	608	1040
369	609	1037
370	610	1035
371	611	1032
372	613	1030
373	615	1029
374	616	1028
375	618	1026
376	620	1024
377	621	1022
378	623	1020
379	624	1019
380	626	1017
381	627	1015
382	628	1013
383	631	1012
384	632	1010
385	634	1008
386	635	1006
387	636	1004
388	638	1002
389	639	1000
390	641	998
391	642	996
392	644	995
393	646	994
394	647	992
395	649	990
396	650	988
397	651	985
398	653	984
399	654	981
400	656	980
401	657	978
402	658	976
403	661	975
404	662	973
405	664	971
406	665	970
407	667	968
408	668	965
409	669	963
410	670	961
411	671	958
412	673	957
413	675	956
414	677	954
415	679	953
416	680	951
417	682	950
418	684	948
419	685	946
420	687	945
421	689	943
422	691	943
423	693	941
424	694	939
425	696	938
426	697	936
427	699	934
428	702	935
429	704	933
430	705	931
431	707	930
432	708	928
433	711	927
434	712	926
435	715	925
436	716	923
437	718	921
438	720	920
439	722	919
440	723	917
441	725	915
442	726	913
443	728	911
444	729	910
445	731	908
446	732	906
447	734	905
448	736	903
449	738	902
450	739	900
451	741	898
452	742	896
453	744	895
454	745	893
455	747	891
456	748	889
457	750	888
458	752	886
459	754	885
460	755	883
461	757	882
462	758	880
463	760	878
464	762	876
465	764	875
